,Service,Country,Local Price,Currency,Plan/Title,Cost in USD (VALUES),GDP per Capita (PPP),Service Type
,Xbox,Argentina,"1,169.35",ARS,Sekiro,$16.97,"$19,970.52",Gaming
,Nintendo,Argentina,"3,640.00",ARS,Animal crossing,$52.83,"$19,970.52",Gaming
,Nintendo,Argentina,"3,640.00",ARS,Zelda,$52.83,"$19,970.52",Gaming
,Nintendo,Argentina,"3,640.00",ARS,Mario,$52.83,"$19,970.52",Gaming
,Xbox,Argentina,749.50,ARS,Red Dead,$10.88,"$19,970.52",Gaming
,Xbox,Argentina,899.50,ARS,Forza Horizon,$13.06,"$19,970.52",Gaming
,Steam,Argentina,"2,149.00",ARS,Doom Eternal,$31.19,"$19,970.52",Gaming
,Steam,Argentina,499.50,ARS,PUBG,$7.25,"$19,970.52",Gaming
,Steam,Argentina,699.99,ARS,GTA V,$10.16,"$19,970.52",Gaming
,Playstation,Argentina,19.99,USD,God Of War,$19.99,"$19,970.52",Gaming
,Playstation,Argentina,19.99,USD,Bloodborne,$19.99,"$19,970.52",Gaming
,Playstation,Argentina,39.99,USD,Spider-Man,$39.99,"$19,970.52",Gaming
,Steam,Armenia,8.99,USD,PUBG,$8.99,"$11,844.65",Gaming
,Steam,Armenia,24.99,USD,GTA V,$24.99,"$11,844.65",Gaming
,Steam,Armenia,29.99,USD,Doom Eternal,$29.99,"$11,844.65",Gaming
,Steam,Australia,21.47,AUD,PUBG,$15.00,"$54,799.04",Gaming
,Steam,Australia,47.95,AUD,GTA V,$33.50,"$54,799.04",Gaming
,Steam,Australia,99.95,AUD,Doom Eternal,$69.82,"$54,799.04",Gaming
,Xbox,Australia,49.97,AUD,Red Dead,$34.91,"$54,799.04",Gaming
,Xbox,Australia,49.97,AUD,Forza Horizon,$34.91,"$54,799.04",Gaming
,Xbox,Australia,64.96,AUD,Sekiro,$45.38,"$54,799.04",Gaming
,Nintendo,Australia,79.95,AUD,Animal crossing,$55.85,"$54,799.04",Gaming
,Nintendo,Australia,79.95,AUD,Mario,$55.85,"$54,799.04",Gaming
,Nintendo,Australia,89.95,AUD,Zelda,$62.84,"$54,799.04",Gaming
,Playstation,Australia,24.95,USD,God Of War,$24.95,"$54,799.04",Gaming
,Playstation,Australia,24.95,USD,Bloodborne,$24.95,"$54,799.04",Gaming
,Playstation,Australia,69.95,USD,Spider-Man,$69.95,"$54,799.04",Gaming
,Steam,Austria,14.99,EUR,PUBG,$16.99,"$55,171.99",Gaming
,Steam,Austria,29.99,EUR,GTA V,$33.98,"$55,171.99",Gaming
,Steam,Austria,59.99,EUR,Doom Eternal,$67.97,"$55,171.99",Gaming
,Playstation,Austria,19.99,EUR,God Of War,$22.65,"$55,171.99",Gaming
,Playstation,Austria,19.99,EUR,Bloodborne,$22.65,"$55,171.99",Gaming
,Xbox,Austria,34.99,EUR,Red Dead,$39.65,"$55,171.99",Gaming
,Xbox,Austria,34.99,EUR,Forza Horizon,$39.65,"$55,171.99",Gaming
,Xbox,Austria,45.49,EUR,Sekiro,$51.54,"$55,171.99",Gaming
,Playstation,Austria,49.99,EUR,Spider-Man,$56.64,"$55,171.99",Gaming
,YouTube Premium,Israel,23.90,ILS,Monthly,$6.91,"$40,336.84",Video Streaming
,Nintendo,Austria,59.99,EUR,Animal crossing,$67.97,"$55,171.99",Gaming
,Nintendo,Austria,59.99,EUR,Mario,$67.97,"$55,171.99",Gaming
,Nintendo,Austria,69.99,EUR,Zelda,$79.31,"$55,171.99",Gaming
,Steam,Azerbaijan,8.99,USD,PUBG,$8.99,"$19,155.92",Gaming
,Steam,Azerbaijan,24.99,USD,GTA V,$24.99,"$19,155.92",Gaming
,Steam,Azerbaijan,29.99,USD,Doom Eternal,$29.99,"$19,155.92",Gaming
,Steam,Belarus,8.99,USD,PUBG,$8.99,"$21,223.74",Gaming
,Steam,Belarus,24.99,USD,GTA V,$24.99,"$21,223.74",Gaming
,Steam,Belarus,29.99,USD,Doom Eternal,$29.99,"$21,223.74",Gaming
,Steam,Belgium,14.99,EUR,PUBG,$16.99,"$50,904.69",Gaming
,Steam,Belgium,29.99,EUR,GTA V,$33.98,"$50,904.69",Gaming
,Steam,Belgium,59.99,EUR,Doom Eternal,$67.97,"$50,904.69",Gaming
,Playstation,Belgium,19.99,EUR,God Of War,$22.65,"$50,904.69",Gaming
,Playstation,Belgium,19.99,EUR,Bloodborne,$22.65,"$50,904.69",Gaming
,Xbox,Belgium,34.99,EUR,Red Dead,$39.65,"$50,904.69",Gaming
,Xbox,Belgium,34.99,EUR,Forza Horizon,$39.65,"$50,904.69",Gaming
,Xbox,Belgium,45.49,EUR,Sekiro,$51.54,"$50,904.69",Gaming
,Playstation,Belgium,49.99,EUR,Spider-Man,$56.64,"$50,904.69",Gaming
,Nintendo,Belgium,59.99,EUR,Animal crossing,$67.97,"$50,904.69",Gaming
,Nintendo,Belgium,59.99,EUR,Mario,$67.97,"$50,904.69",Gaming
,Nintendo,Belgium,69.99,EUR,Zelda,$79.31,"$50,904.69",Gaming
,Xbox,Brazil,124.50,BRL,Red Dead,$24.38,"$17,016.32",Gaming
,Xbox,Brazil,129.35,BRL,Sekiro,$25.33,"$17,016.32",Gaming
,Playstation,Brazil,169.99,BRL,Spider-Man,$33.29,"$17,016.32",Gaming
,Nintendo,Brazil,250.79,BRL,Animal crossing,$49.12,"$17,016.32",Gaming
,Nintendo,Brazil,250.79,BRL,Zelda,$49.12,"$17,016.32",Gaming
,Nintendo,Brazil,250.79,BRL,Mario,$49.12,"$17,016.32",Gaming
,Twitch Prime,United Arab Emirates,16.00,AED,Monthly,$4.37,"$70,441.55",Video Streaming
,Apple music,Denmark,99.00,DKK,Individual,$15.01,"$55,674.67",Music Streaming
,Netflix,Switzerland,21.90,CHF,Premium,$22.85,"$67,557.70",Video Streaming
,Apple music,United Arab Emirates,29.99,AED,Family,$8.19,"$70,441.55",Music Streaming
,Netflix,Denmark,129.00,DKK,Premium,$19.56,"$55,674.67",Video Streaming
,Netflix,Finland,15.99,EUR,Premium,$18.12,"$49,547.88",Video Streaming
,Playstation,Brazil,79.90,BRL,God Of War,$15.65,"$17,016.32",Gaming
,YouTube Premium,Argentina,119.00,ARS,Monthly,$1.73,"$19,970.52",Video Streaming
,Spotify,Denmark,99.00,DKK,Individual,$15.01,"$55,674.67",Music Streaming
,Amazon Prime,United States,12.99,USD,Monthly,$12.99,"$67,426.84",Video Streaming
,Playstation,Brazil,79.90,BRL,Bloodborne,$15.65,"$17,016.32",Gaming
